Ticker,lookback,units,layers,dropout,lr,batch_size,val_rmse_logret
HSBA.L,21,64,1,0.5,0.001,32,0.08276292131285225
HSBA.L,21,32,1,0.3,0.001,32,0.08317874182094213
HSBA.L,21,64,2,0.3,0.0005,32,0.0834655268135146
HSBA.L,21,32,2,0.3,0.001,32,0.08374276433789644
HSBA.L,21,64,2,0.3,0.001,64,0.08414389067543472
HSBA.L,21,64,2,0.2,0.001,32,0.08430010091953144
HSBA.L,21,64,1,0.3,0.0005,32,0.08433460424427731
HSBA.L,21,64,2,0.2,0.0005,32,0.08443871249604758
HSBA.L,21,64,1,0.2,0.001,64,0.08450014518612184
HSBA.L,21,32,2,0.3,0.0005,32,0.0846038976265204
HSBA.L,126,96,1,0.2,0.001,32,0.08505445002890148
HSBA.L,126,128,2,0.5,0.001,32,0.0851016747327605
HSBA.L,126,96,2,0.3,0.001,64,0.08531765774013203
HSBA.L,126,128,1,0.5,0.0005,32,0.08533937045614176
HSBA.L,126,128,1,0.3,0.0005,32,0.08540888085422278
HSBA.L,63,64,2,0.3,0.001,64,0.08541741291224002
HSBA.L,126,128,1,0.2,0.0005,32,0.08549131292280773
HSBA.L,21,32,1,0.2,0.0005,32,0.08554305206185696
HSBA.L,21,32,1,0.2,0.001,64,0.0857043376543415
HSBA.L,126,128,2,0.2,0.001,64,0.08577772629790513
HSBA.L,126,96,1,0.5,0.0005,32,0.08578503500080412
HSBA.L,126,96,2,0.3,0.0005,64,0.08580640241166061
HSBA.L,126,96,2,0.5,0.0005,64,0.08586188311974037
HSBA.L,21,64,2,0.2,0.0005,64,0.08591261364492277
HSBA.L,126,128,1,0.5,0.0005,64,0.08595777265469541
HSBA.L,126,128,1,0.5,0.001,32,0.0860033413316169
HSBA.L,126,128,1,0.2,0.001,32,0.08603246661292666
HSBA.L,126,128,1,0.3,0.0005,64,0.08611264670428642
HSBA.L,126,128,1,0.2,0.0005,64,0.08639144412738747
HSBA.L,126,96,1,0.3,0.0005,32,0.08664824498048981
HSBA.L,63,96,1,0.3,0.0005,32,0.08692862287095031
HSBA.L,63,64,2,0.3,0.0005,32,0.0872518267327235
HSBA.L,63,64,2,0.3,0.001,32,0.08732108070436984
HSBA.L,63,64,1,0.5,0.001,32,0.08738657534425925
HSBA.L,63,64,1,0.2,0.0005,64,0.08745292989526791
HSBA.L,126,96,2,0.2,0.0005,32,0.08784930306015858
HSBA.L,126,128,2,0.2,0.001,32,0.08786221277902509
HSBA.L,126,128,2,0.3,0.001,32,0.08795901011398098
HSBA.L,63,64,2,0.3,0.0005,64,0.08797783996814364
HSBA.L,63,96,2,0.2,0.0005,32,0.08812438572696822
HSBA.L,63,64,2,0.2,0.001,64,0.08841445970728407
HSBA.L,126,96,1,0.5,0.0005,64,0.08865691951048174
HSBA.L,63,96,1,0.2,0.001,32,0.0889479954375854
HSBA.L,63,96,1,0.2,0.0005,32,0.0890721233101484
HSBA.L,63,64,2,0.2,0.0005,64,0.08909140205648147
HSBA.L,63,64,2,0.2,0.001,32,0.0891789359028592
HSBA.L,63,64,2,0.5,0.0005,64,0.08950782905199492
HSBA.L,63,96,1,0.5,0.001,64,0.0896160054732005
HSBA.L,63,96,2,0.5,0.001,32,0.0931123921931318
HSBA.L,126,128,1,0.2,0.001,64,0.09329719570417938
